Category,Subtitle,Name,Description,Price,Tags
STUDIO SPECIAL,,STUDIO ASSORTED KEBAB PLATTER,"Juicy chicken kebabs, three varieties (9 pcs), succulent fish or prawn kebabs(2 pieces) flavourful chicken tengri(2 pieces) or chicken tandoori kebab(1 piece).",625,"Studio Special, Non-veg"
STUDIO SPECIAL,RICE,STUDIO SPECIAL FRIED RICE,"Special fried rice in spicy chili sauce with baby corn, broccoli, mushroom, chicken, shrimp, wrapped in egg.",305,"Studio Special, Non-veg, Chilli"
STUDIO SPECIAL,NOODLES,STUDIO SPECIAL NOODLE,"Our Chef's Special stir-fried noodles in spicy chili sauce with chicken, prawn, assorted veggies, and wrapped in egg.",295,"Studio Special, Non-veg, Chilli"
STUDIO SPECIAL,RICE,MIXED MALAYSIAN PINEAPPLE RICE,"Combination of sweet, caramelized pineapple with Thai spices.",295,"Studio Special, Non-veg"
STUDIO SPECIAL,RICE,CHICKEN MALAYSIAN PINEAPPLE RICE,"Combination of sweet, caramelized pineapple with Thai spices.",265,"Studio Special, Non-veg"
STUDIO SPECIAL,RICE,VEG MALAYSIAN PINEAPPLE RICE,"Combination of sweet, caramelized pineapple with Thai spices.",205,"Studio Special, Veg"
TANGLED & TASTY,RICE,MIXED FRIED RICE,"Wok tossed rice sauted with prawns, chicken, eggs and seasonal vegetables.",245,Non-veg
TANGLED & TASTY,RICE,CHICKEN FRIED RICE,"Wok tossed rice sauted with prawns, chicken, eggs and seasonal vegetables.",215,Non-veg
TANGLED & TASTY,RICE,VEG FRIED RICE,"Wok tossed rice sauted with prawns, chicken, eggs and seasonal vegetables.",165,veg
TANGLED & TASTY,RICE,MIXED CHILLI GARLIC RICE,"Rice with carrot, american corn & beans tossed in chilli paste, tomato ketchup flavoured with chopped garlic.",265,"Non-veg, Chilli"
TANGLED & TASTY,RICE,CHICKEN CHILLI GARLIC RICE,"Rice with carrot, american corn & beans tossed in chilli paste, tomato ketchup flavoured with chopped garlic.",235,"Non-veg, Chilli"
TANGLED & TASTY,RICE,VEG CHILLI GARLIC RICE,"Rice with carrot, american corn & beans tossed in chilli paste, tomato ketchup flavoured with chopped garlic.",185,"Veg, Chilli"
